NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1004;1;1;1;1004010101;2; ; ; ; ; ; ; ; ; ;7;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;1;1;2;1004010102;51;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;174;5;3;42;M;Montevideo Medio Bajo;597,1607578;109008;122130
1004;1;1;3;1004010103;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;1;2;1;1004010201;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;1;2;2;1004010202;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;148;30;3;42;M;Montevideo Medio Bajo;597,1607578; ;109005
1004;1;3;1;1004010301;2; ; ; ; ; ; ; ; ; ;13;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;2;1;1;1004020101;51;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ;148;10;99;42;M;Montevideo Medio Bajo;597,1607578;109008;121026
1004;2;1;2;1004020102;54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;2;2;1;1004020201;51;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;127;99;99;42;M;Montevideo Medio Bajo;597,1607578;1606115;116030
1004;2;2;2;1004020202;51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;L27;999;99;42;M;Montevideo Medio Bajo;597,1607578;116030;109004
1004;3;1;1;1004030101;2; ; ; ; ; ; ; ; ; ;13;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1004;3;2;1;1004030201;2; ; ; ; ; ; ; ; ; ;13;3; ; ; ; ; ; ; ;42;M;Montevideo Medio Bajo;597,1607578; ; 
1005;1;1;1;1005010101;11;0;2;2;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;634,7601675; ; 
1005;1;2;1;1005010201;11;2;0;5;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;634,7601675; ; 
1005;1;3;1;1005010301;11;0;0;2;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;634,7601675; ; 
1005;1;4;1;1005010401;11;0;0;5;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;634,7601675; ; 
1005;2;1;1;1005020101;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;526;15;1;60;A+;Montevideo Medio;634,7601675;121026;123003
1005;2;2;1;1005020201;51;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;151;10;1;60;A+;Montevideo Medio;634,7601675;123101;121027
1006;2;1;1;1006020101;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;39;M;Montevideo Medio Bajo;662,2317415; ; 
