NFORM;C1;C2;C3;C4;C5;D1A;D1B;D1C;D1D;D1E;D1ECAN;D1F;D1FCAN;D1G;D1GCAN;D2AT;D2AP;D2BT;D2BP;D2CT;D2CP;D2DT;D2DP;D2ET;D2EP;D2FT;D2FP;D3;D4;D5;d5a;D7;D10;G2;G3A;G3B;G4A;G4B;G5A;G5B;G6A;G6B;G6C;G7A;G7N;G7B;G7O;G7C;G7P;G7D;G7Q;G7E;G7R;G7F;G7S;G7G;G7T;G7H;G7U;G7I;G7V;G7J;G7W;G7K;G7X;G7L;G7Y;G7M;G7Z;G8A_X;G8B_X;G9A_X;G9B_X;G10A_X;G10B_X;G10C_X;G11;G12A_X;G12B_X;INSE;INSE_RecF;EstratoGeografico;wcal0;codseghogar;codloc;codseg
1004;1;2;2;1;1;1;2;2;1;1;1;2; ;1;1;1;2;9;9; ; ; ; ; ; ; ; ;1;1;3;3;1;2;1;1;1;1;2;148;1M1;4;2;1;4;4;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;11;99;11;99;17;99; ;4;12;99;42;M;Montevideo Medio Bajo;597,1607578;109009;1020;109009
1005;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;5;2;2;1;2;1;1;2;1; ;145; ;3;2;6;3; ;3; ;2; ;1; ;1; ;3; ;2; ;2; ;2; ;3; ;4; ;5; ;1; ;4;99;11;99;4;5;6;4;3;6;60;A+;Montevideo Medio;634,7601675;121027;1020;121027
1006;1;1;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99; ;4;1;9;39;M;Montevideo Medio Bajo;662,2317415;109255;1020;109255
1007;1;1;1;1;1;1;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;3;3;1;3;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;99; ;3;19;99;45;M+;Montevideo Medio Bajo;472,9245084;109008;1020;109008
1009;1;1;2;1;2;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;1; ;2; ;4;2;1;2; ;1; ;4; ;4; ;4; ;4; ;2; ;3; ;1; ;2; ;4; ;2; ;4; ;7;6;3;99;1;2;99;4;9;99;35;M-;Montevideo Medio;314,2574189;109023;1020;109023
1010;1;1;2;1;1;1;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;99; ;4;1;99;51;A-;Montevideo Medio;322,2603081;109022;1020;109022
1011;1;2;2;1;1;2;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;1;409;2A;8;6;3;3;4;5;4;4;4;3;3;3;2;4;4;4;4;4;4;3;4;4;4;4;4;5;2;3;2;8;99;8;99;1;99; ;4;1;3;46;M+;Montevideo Medio;582,3194513;109023;1020;109023
1014;1;1;1;1;2;1;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;2;2;1;2;4;1;2;2; ;G; ;1;7;5;3; ;3; ;3; ;4; ;3; ;3; ;3; ;2; ;3; ;4; ;4; ;2; ;1; ;12;99;11;99;17;99; ;4;1;3;56;A-;Montevideo Medio;314,2574189;109022;1020;109022
1016;1;1;2;1;1;2;1;1;1;1;1;1;2;2; ;2;1;2;1;9;9; ; ; ; ; ; ;1;2;4;4;1;2;1;1;2;3; ;148; ;2;3;4;3; ;4; ;3; ;2; ;2; ;3; ;2; ;3; ;2; ;3; ;4; ;4; ;2; ;4;1;4;1;13;99; ;4;16;99;37;M;Montevideo Medio Bajo;557,1963595;109008;1020;109008
1017;1;2;2;1;1;2;1;1;1;1;3;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;1;2;1;1;2;1; ;526; ;12;5;4;4; ;4; ;3; ;2; ;3; ;4; ;4; ;3; ;2; ;4; ;4; ;4; ;2; ;8;2;8;2;5;22;99;4;3;25;32;M-;Montevideo Medio;532,7551575;109022;1020;109022
1018;1;2;2;1;2;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99; ;4;9;99;45;M+;Montevideo Medio;322,2603081;109023;1020;109023
1019;1;1;2;1;1;1;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;3;1;148;809;3;2;12;3;4;4;3;1;5;2;4;3;4;4;5;2;2;4;4;1;4;4;4;1;4;5;2;2;1;11;99;8;9;6;9;99;4;1;3;51;A-;Montevideo Medio;583,0560333;109022;1020;109022
1020;1;1;2;1;2;2;2;2;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;3; ;174; ;6;5;10;4; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;12;99;12;99;11;99; ;4;9;99;47;M+;Montevideo Medio;322,2603081;109022;1020;109022
1021;1;2;2;1;1;1;1;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;2; ;185; ;3;8;13;5; ;5; ;4; ;2; ;2; ;4; ;5; ;4; ;5; ;5; ;5; ;5; ;4; ;12;99;11;1;13;99; ;4;9;2;51;A-;Montevideo Medio;267,57973;112107;1020;112107
1022;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;6;4;1;3;60;A+;Montevideo Medio;379,1642397;120131;1020;120131
1023;1;2;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;1; ;185; ;1;4;8;4; ;4; ;2; ;2; ;4; ;3; ;4; ;3; ;2; ;4; ;4; ;4; ;1; ;12;99;5;6;5;6;99;4;1;3;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;120003;1020;120003
1024;1;1;2;1;2;1;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;4;4;1;4;2;1;2;1; ;147; ;10;4;6;3; ;3; ;4; ;2; ;1; ;2; ;2; ;2; ;3; ;1; ;4; ;2; ;2; ;4;6;11;99;2;5;99;4;10;3;57;A-;Montevideo Medio;600,8422525;121043;1020;121043
1025;1;1;1;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;1;1;1;1;2;1; ;124; ;4;8;2;3; ;2; ;4; ;1; ;1; ;4; ;4; ;4; ;1; ;1; ;4; ;4; ;1; ;11;99;6;99;4;5;9;4;1;2;23;B+;Montevideo Bajo;587,0601537;113012;1020;113012
1026;4;2;2;1;1;2;2;2;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;3; ;494; ;5;13; ;4; ;4; ;4; ;4; ;4; ;2; ;4; ;4; ;4; ;2; ;4; ;4; ;2; ;7;12;11;99;5;99; ;4;1;99;41;M;Montevideo Medio;533,3092158;120009;1020;120009
1027;1;1;2;1;1;1;2;2;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;2; ;L4; ;13; ; ;4; ;4; ;4; ;3; ;4; ;5; ;4; ;4; ;3; ;4; ;4; ;4; ;2; ;12;99;12;99;11;99; ;4;1;10;43;M;Zona III - Cuenca Cerro Norte Bajo;106,2828382;113235;1020;113235
1028;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;2;9;9; ; ; ; ; ; ; ; ;1;2;5;5;1;3;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;6;4;19;25;43;M;Montevideo Bajo;538,1559885;113012;1020;113012
1029;1;1;1;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;1;1;1;2;2; ;124; ;5;6;7;4; ;3; ;4; ;3; ;3; ;3; ;4; ;4; ;3; ;4; ;4; ;4; ;2; ;5;99;6;99;4;5;99;4;23;99;19;B-;Montevideo Bajo;467,8040856;113022;1020;113022
1030;1;1;2;1;1;2;2;2;1;2; ;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;2; ;1;1;1;1;1;1;2;2; ;185; ;8;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;4; ;4; ;4; ;2; ;2; ;12;99;11;5;1;2;3;4;9;99;32;M-;Montevideo Bajo;389,5893968;113051;1020;113051
