NFORM;nnper;IDPER;SEXO;EDAD;PARENTESCO;E3;E4;E4A;E5;E6;E7;E7OB;E8;E9;E10;E11;E12;E14;E15;E16;E17;E19;E20;E200B;Form_Op_Hab;codsegtrabprinc;codsegpresentrab;codsegcomenzodia;INSE;INSE_RecF;EstratoGeografico;wcal0
1004;1;100401;2;42;1;2;4;3;2;2;3; ;1; ; ;40;2; ;3;1;1;1; ; ;0;111020; ; ;42;M;Montevideo Medio Bajo;597,1607578
1004;2;100402;1;43;2;2;4;9;4;1;3; ;1; ; ;48;2; ;1;3;1;1; ; ;1;1606115; ; ;42;M;Montevideo Medio Bajo;597,1607578
1004;3;100403;2;5;3;1;1; ;1;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;42;M;Montevideo Medio Bajo;597,1607578
1005;1;100501;1;62;1;2;6; ;1;2;3; ;1; ; ;40;2; ;1;5;1;1; ; ;0;123201; ; ;60;A+;Montevideo Medio;634,7601675
1005;2;100502;2;24;4;2;5; ;1;2;3; ;1; ; ;44;2; ;1;2;1;1; ; ;1;123003; ; ;60;A+;Montevideo Medio;634,7601675
1006;1;100601;1;82;1;2;2; ;6;1;3; ;2;1;4; ; ; ;3; ;1;2;1; ;0; ; ; ;39;M;Montevideo Medio Bajo;662,2317415
1006;2;100602;2;82;2;2;3; ;1;2;3; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;39;M;Montevideo Medio Bajo;662,2317415
1007;1;100701;1;37;3;1;6; ;5;2;3; ;1; ; ;44;2; ;1;5;1;1; ; ;0;120015; ; ;45;M+;Montevideo Medio Bajo;472,9245084
1007;2;100702;1;81;1;2;2; ;6;1;2; ;2;1;4; ; ; ;2;3;1;2;10; ;0; ; ; ;45;M+;Montevideo Medio Bajo;472,9245084
1007;3;100703;2;70;2;2;2; ;6;1;2; ;2;1;4; ; ; ;3;3;1;2;10; ;0; ; ; ;45;M+;Montevideo Medio Bajo;472,9245084
1009;1;100901;1;93;1;2;2; ;4;2;3; ;2;1;4; ; ; ;3; ;1;1; ; ;0; ; ; ;35;M-;Montevideo Medio;314,2574189
1009;2;100902;2;71;2;2;2; ;6;1;2; ;2;1;3; ; ; ;3; ;1;1; ; ;1; ; ; ;35;M-;Montevideo Medio;314,2574189
1010;1;101001;2;73;1;2;2; ;6;1;3; ;2;1;4; ; ; ;2; ;1;2;2; ;1; ; ; ;51;A-;Montevideo Medio;322,2603081
1011;1;101101;1;49;1;2;5; ;3;1;3; ;1; ; ;44;2; ;2; ;3;1; ; ;1;114105; ;114105;46;M+;Montevideo Medio;582,3194513
1014;1;101401;2;75;2;2;6; ;4;2;3; ;2;1;3; ; ; ;3;2;1;1; ; ;1; ; ; ;56;A-;Montevideo Medio;314,2574189
1014;2;101402;1;77;1;2;2; ;6;1;3; ;2;1;4; ; ; ;1;2;1;1; ; ;0; ; ; ;56;A-;Montevideo Medio;314,2574189
1016;1;101601;1;65;1;2;3; ;6;1;1; ;2;1;4; ; ; ;1;5;1;1; ; ;0; ; ; ;37;M;Montevideo Medio Bajo;557,1963595
1016;2;101602;2;55;2;2;2; ;6;1;1; ;2;1;3; ; ; ;3;1;1;1; ; ;1; ; ; ;37;M;Montevideo Medio Bajo;557,1963595
1016;3;101603;2;28;3;1;3; ;4;2;3; ;1; ; ;28;2; ;3;5;1;1; ; ;0;124107; ; ;37;M;Montevideo Medio Bajo;557,1963595
