NFORM;nnper;nvj;IDPERV;origen;proposito;VF5;VF6;tiempoviaje;modoprincipal;etapas;VF9;INSE;INSE_RecF;EstratoGeografico;cuadras;codsegorigen;codsegproposito;wcal0
1004;1;1;10040101;1;2;5;6;60;13;3;1;42;M;Montevideo Medio Bajo;13;109009;111020;597,1607578
1004;1;2;10040102;2;11;16;17;60;13;2;1;42;M;Montevideo Medio Bajo;6;111020; ;597,1607578
1004;1;3;10040103;11;1;17;17,3;30;1;1;1;42;M;Montevideo Medio Bajo;13; ;109009;597,1607578
1004;2;1;10040201;1;2;5;6,3;90;13;2;1;42;M;Montevideo Medio Bajo; ;109009;1606115;597,1607578
1004;2;2;10040202;2;1;17;18;60;13;2;1;42;M;Montevideo Medio Bajo; ;1606115;109009;597,1607578
1004;3;1;10040301;1;5;12,3;13;30;1;1;1;42;M;Montevideo Medio Bajo;13;109009; ;597,1607578
1004;3;2;10040302;5;1;17;17,3;30;1;1;1;42;M;Montevideo Medio Bajo;13; ;109009;597,1607578
1005;1;1;10050101;1;2;9;9,3;30;8;1;1;60;A+;Montevideo Medio; ;121027;123201;634,7601675
1005;1;2;10050102;2;1;17,3;18;30;8;1;1;60;A+;Montevideo Medio; ;123201;121027;634,7601675
1005;1;3;10050103;1;6;19;19,02;2;8;1;2;60;A+;Montevideo Medio; ;121027;121130;634,7601675
1005;1;4;10050104;6;1;19,3;19,32;2;8;1;2;60;A+;Montevideo Medio; ;121130;121027;634,7601675
1005;2;1;10050201;1;2;11;12;60;13;1;1;60;A+;Montevideo Medio; ;121027;123003;634,7601675
1005;2;2;10050202;2;1;20;21;60;13;1;1;60;A+;Montevideo Medio; ;123003;121027;634,7601675
1006;2;1;10060201;1;6;10;10,04;4;0;1;1;39;M;Montevideo Medio Bajo;1;109255;109255;662,2317415
1006;2;2;10060202;6;1;10,2;10,23;3;0;1;1;39;M;Montevideo Medio Bajo;1;109255;109255;662,2317415
1007;1;1;10070101;1;2;8;8,2;20;8;1;1;45;M+;Montevideo Medio Bajo; ;109008;120015;472,9245084
1007;1;2;10070102;2;1;17;17,2;20;8;1;1;45;M+;Montevideo Medio Bajo; ;120015;109008;472,9245084
1009;1;1;10090101;1;6;11,1;11,15;5;0;1;1;35;M-;Montevideo Medio;1;109023;109023;314,2574189
1009;1;2;10090102;6;1;11,25;11,3;5;0;1;1;35;M-;Montevideo Medio;1;109023;109023;314,2574189
1009;2;1;10090201;1;8;6;6,2;20;13;1;2;35;M-;Montevideo Medio; ;109023;109010;314,2574189
1009;2;2;10090202;8;6;13,1;13,2;10;13;1;2;35;M-;Montevideo Medio; ;109010;109025;314,2574189
1009;2;3;10090203;6;1;13,55;14;5;0;1;2;35;M-;Montevideo Medio;2;109025;109023;314,2574189
